property_id,city,locality,property_type,area_sqft,bedrooms,bathrooms,balconies,floor,total_floors,age_years,facing,furnishing_status,parking_spaces,amenities_score,amenities_list,near_metro,near_school,near_hospital,price_per_sqft,total_price_inr,total_price_lakhs,listed_date,transaction_type,possession_status
PROP00011,Hyderabad,Financial District,Villa,2779.0,3,3,1,12,17,6,East,Semi-Furnished,0,1.0,Gym|Garden|Jogging Track|Lift|Security|Power Backup|Swimming Pool|Parking|Clubhouse|Children Play Area,1,1,0,13676.4,38006713,380.07,2023-05-20,Sale,New Launch
PROP00012,Hyderabad,Kokapet,Apartment,913.0,4,4,1,20,24,8,South,Unfurnished,2,0.6,Lift|Garden|Swimming Pool|Gym|Power Backup|Security,1,1,1,8512.4,7771826,77.72,2022-09-29,Resale,Ready to Move
PROP00013,Delhi NCR,Greater Noida,Apartment,1388.0,2,2,2,19,29,25,North-West,Semi-Furnished,2,1.0,Security|Swimming Pool|Clubhouse|Lift|Gym|Garden|Children Play Area|Power Backup|Parking|Jogging Track,0,1,0,9554.25,13261302,132.61,2023-05-30,Sale,Ready to Move
PROP00014,Bangalore,Electronic City,Apartment,2072.0,2,2,0,16,19,23,South,Semi-Furnished,2,0.8,Children Play Area|Gym|Swimming Pool|Jogging Track|Garden|Lift|Parking|Security,1,0,1,7998.97,16573868,165.74,2024-01-17,Sale,Under Construction
PROP00015,Hyderabad,Manikonda,Villa,3717.0,3,3,3,9,13,5,West,Fully Furnished,1,0.2,Clubhouse|Garden,1,0,1,12785.22,47522646,475.23,2022-08-10,Resale,Ready to Move
PROP00016,Delhi NCR,Rohini,Apartment,747.0,2,2,1,19,23,7,East,Semi-Furnished,2,0.8,Garden|Security|Swimming Pool|Parking|Clubhouse|Jogging Track|Power Backup|Children Play Area,0,1,1,12491.95,9331490,93.31,2023-06-19,Sale,New Launch
PROP00017,Pune,Aundh,Apartment,939.0,2,3,1,22,28,13,North-East,Fully Furnished,0,0.3,Parking|Power Backup|Security,0,1,1,9265.78,8700569,87.01,2022-05-24,Resale,New Launch
PROP00018,Hyderabad,Jubilee Hills,Independent House,1291.0,4,4,2,26,32,12,North-West,Unfurnished,2,0.4,Power Backup|Parking|Children Play Area|Garden,1,0,0,11365.01,14672232,146.72,2022-01-01,Resale,Under Construction
PROP00019,Hyderabad,Secunderabad,Apartment,863.0,1,1,0,32,40,25,North-West,Unfurnished,0,0.3,Security|Children Play Area|Garden,1,0,1,6777.1,5848635,58.49,2022-10-29,Sale,Ready to Move
PROP00020,Hyderabad,Narsingi,Villa,3607.0,5,4,3,26,36,6,North-West,Semi-Furnished,0,0.9,Parking|Power Backup|Clubhouse|Garden|Jogging Track|Gym|Security|Swimming Pool|Children Play Area,0,1,1,14507.21,52327510,523.28,2022-09-06,Resale,Ready to Move
PROP00021,Delhi NCR,Greater Noida,Studio,383.0,1,1,1,35,43,5,North-West,Fully Furnished,0,0.9,Security|Power Backup|Jogging Track|Parking|Lift|Children Play Area|Swimming Pool|Garden|Clubhouse,0,1,0,12347.79,4729205,47.29,2022-06-15,Sale,Ready to Move
PROP00022,Hyderabad,Kondapur,Independent House,1949.0,3,2,3,26,32,17,South,Semi-Furnished,1,0.5,Parking|Jogging Track|Gym|Children Play Area|Security,0,1,0,7462.79,14544977,145.45,2024-03-09,Resale,New Launch
PROP00023,Mumbai,Kurla,Independent House,1720.0,3,2,3,14,19,13,South,Unfurnished,1,0.7,Parking|Clubhouse|Lift|Swimming Pool|Security|Garden|Gym,1,1,0,16701.39,28726399,287.26,2024-08-03,Sale,Ready to Move
PROP00024,Hyderabad,Secunderabad,Apartment,1384.0,4,4,2,24,29,24,South,Unfurnished,1,0.3,Lift|Gym|Children Play Area,1,1,1,7128.22,9865457,98.65,2023-05-22,Sale,Ready to Move
PROP00025,Bangalore,HSR Layout,Apartment,737.0,3,4,0,13,21,22,North,Fully Furnished,0,0.4,Jogging Track|Swimming Pool|Clubhouse|Lift,1,0,0,8917.08,6571888,65.72,2023-02-11,Sale,New Launch
PROP00026,Mumbai,Thane,Apartment,1226.0,3,3,0,2,8,17,South,Semi-Furnished,1,0.3,Children Play Area|Garden|Gym,0,1,0,17811.37,21836742,218.37,2024-07-30,Sale,Under Construction
PROP00027,Hyderabad,Kokapet,Studio,720.0,1,1,1,29,36,23,North-East,Unfurnished,2,0.5,Swimming Pool|Security|Lift|Jogging Track|Power Backup,0,0,1,5569.65,4010146,40.1,2023-10-28,Sale,Under Construction
PROP00028,Hyderabad,Miyapur,Apartment,960.0,2,3,2,17,26,0,North-East,Fully Furnished,2,0.3,Power Backup|Parking|Lift,1,0,0,10645.42,10219599,102.2,2022-02-05,Sale,Under Construction
PROP00029,Hyderabad,Manikonda,Apartment,1130.0,2,3,1,30,39,16,North,Semi-Furnished,0,1.0,Garden|Jogging Track|Lift|Clubhouse|Parking|Children Play Area|Swimming Pool|Gym|Security|Power Backup,1,1,1,8822.98,9969964,99.7,2023-07-21,Resale,Ready to Move
PROP00030,Delhi NCR,Faridabad,Apartment,1416.0,2,1,1,0,9,4,North,Unfurnished,2,0.2,Children Play Area|Security,1,0,1,10850.69,15364579,153.65,2023-08-06,Resale,Under Construction
PROP00031,Bangalore,Indiranagar,Studio,568.0,1,1,1,7,9,12,South,Unfurnished,2,0.2,Clubhouse|Jogging Track,0,1,1,8775.48,4984471,49.84,2022-08-31,Resale,New Launch
PROP00032,Bangalore,Bellandur,Apartment,817.0,4,5,3,28,36,9,North-East,Fully Furnished,1,0.6,Jogging Track|Gym|Swimming Pool|Parking|Lift|Garden,1,1,1,10259.32,8381866,83.82,2022-06-03,Sale,Ready to Move
PROP00033,Bangalore,Bannerghatta Road,Villa,3551.0,5,5,0,14,19,22,North,Semi-Furnished,2,0.9,Swimming Pool|Power Backup|Security|Parking|Garden|Lift|Jogging Track|Children Play Area|Gym,1,1,0,14241.64,50572061,505.72,2022-05-27,Sale,Ready to Move
PROP00034,Mumbai,Chembur,Independent House,1562.0,4,5,2,28,30,14,North-West,Unfurnished,2,0.8,Security|Children Play Area|Lift|Power Backup|Gym|Jogging Track|Garden|Swimming Pool,0,0,1,18501.89,28899948,289.0,2022-02-12,Resale,New Launch
PROP00035,Hyderabad,Madhapur,Apartment,1580.0,4,5,3,17,20,18,South,Semi-Furnished,1,0.9,Swimming Pool|Lift|Garden|Power Backup|Clubhouse|Children Play Area|Gym|Parking|Jogging Track,0,0,0,7549.83,11928739,119.29,2022-03-17,Resale,Ready to Move
PROP00036,Hyderabad,Secunderabad,Apartment,854.0,2,2,2,0,9,14,South,Unfurnished,1,1.0,Garden|Lift|Children Play Area|Parking|Gym|Swimming Pool|Clubhouse|Power Backup|Jogging Track|Security,0,1,1,6485.44,5538564,55.39,2023-05-06,Sale,Under Construction
PROP00037,Bangalore,JP Nagar,Apartment,1546.0,4,3,0,29,31,20,West,Semi-Furnished,0,0.6,Children Play Area|Security|Parking|Lift|Power Backup|Garden,0,1,0,7360.99,11380096,113.8,2024-11-06,Sale,Ready to Move
PROP00038,Hyderabad,Nallagandla,Apartment,1102.0,2,3,1,0,5,23,North,Fully Furnished,0,0.9,Clubhouse|Lift|Children Play Area|Jogging Track|Parking|Security|Power Backup|Swimming Pool|Garden,1,0,1,6803.26,7497188,74.97,2024-04-21,Sale,Under Construction
PROP00039,Mumbai,Goregaon,Apartment,962.0,2,3,2,9,17,1,West,Semi-Furnished,1,0.7,Swimming Pool|Lift|Jogging Track|Security|Power Backup|Gym|Children Play Area,1,1,0,22540.11,21683589,216.84,2023-06-27,Resale,New Launch
PROP00040,Mumbai,Powai,Independent House,1727.0,3,4,3,20,28,17,East,Semi-Furnished,2,0.5,Security|Power Backup|Swimming Pool|Children Play Area|Gym,1,0,1,22698.47,39200249,392.0,2022-03-01,Sale,Under Construction
PROP00041,Mumbai,Navi Mumbai,Apartment,770.0,4,4,1,15,24,13,North-East,Semi-Furnished,1,0.4,Clubhouse|Jogging Track|Swimming Pool|Security,1,0,1,19861.5,15293359,152.93,2023-06-05,Resale,Under Construction
PROP00042,Mumbai,Borivali,Penthouse,1649.0,3,4,1,4,12,11,North-East,Unfurnished,1,0.8,Security|Lift|Jogging Track|Swimming Pool|Power Backup|Garden|Gym|Children Play Area,0,0,0,24525.74,40442953,404.43,2024-03-21,Resale,Ready to Move
PROP00043,Bangalore,Yelahanka,Independent House,1846.0,3,2,3,18,22,19,North,Unfurnished,2,0.5,Jogging Track|Security|Clubhouse|Garden|Gym,1,0,0,7871.91,14531552,145.32,2024-01-18,Sale,Ready to Move
PROP00044,Delhi NCR,Greater Noida,Independent House,1713.0,2,1,0,8,17,11,North-East,Semi-Furnished,0,0.6,Clubhouse|Security|Lift|Parking|Jogging Track|Garden,0,1,1,14517.12,24867820,248.68,2023-04-08,Resale,New Launch
PROP00045,Bangalore,Hebbal,Apartment,1219.0,2,3,0,29,35,21,North-West,Semi-Furnished,0,0.8,Garden|Swimming Pool|Power Backup|Lift|Gym|Security|Clubhouse|Parking,1,0,0,9229.09,11250261,112.5,2022-08-27,Sale,Ready to Move
PROP00046,Pune,Aundh,Studio,541.0,1,1,0,15,24,4,South,Semi-Furnished,0,1.0,Parking|Clubhouse|Jogging Track|Garden|Gym|Power Backup|Security|Swimming Pool|Lift|Children Play Area,0,0,1,7785.87,4212156,42.12,2022-07-23,Resale,New Launch
PROP00047,Delhi NCR,Greater Noida,Apartment,1377.0,2,2,0,7,15,2,North-West,Unfurnished,0,0.2,Gym|Garden,1,1,1,11576.08,15940264,159.4,2023-03-01,Sale,Ready to Move
PROP00048,Hyderabad,Kondapur,Independent House,2432.0,3,4,0,17,20,4,North-East,Unfurnished,1,0.4,Swimming Pool|Gym|Clubhouse|Children Play Area,1,0,1,9768.77,23757655,237.58,2022-04-18,Sale,New Launch
PROP00049,Bangalore,Koramangala,Independent House,1354.0,2,2,1,23,32,18,East,Semi-Furnished,0,0.5,Jogging Track|Gym|Security|Power Backup|Garden,1,0,0,13185.28,17852873,178.53,2024-05-23,Sale,Under Construction
PROP00050,Mumbai,Borivali,Apartment,1697.0,1,1,1,9,11,4,North,Semi-Furnished,1,1.0,Garden|Parking|Security|Power Backup|Lift|Jogging Track|Children Play Area|Gym|Clubhouse|Swimming Pool,0,1,0,24536.06,41637693,416.38,2024-07-17,Resale,Under Construction
PROP00051,Mumbai,Malad,Apartment,557.0,3,4,2,23,26,21,South,Unfurnished,2,0.3,Swimming Pool|Parking|Jogging Track,0,1,1,15698.7,8744177,87.44,2023-11-07,Sale,Under Construction
PROP00052,Bangalore,Yelahanka,Penthouse,3122.0,4,4,0,18,28,9,North,Unfurnished,1,1.0,Power Backup|Clubhouse|Lift|Swimming Pool|Gym|Children Play Area|Security|Garden|Parking|Jogging Track,1,0,1,12983.23,40533629,405.34,2023-09-25,Resale,Under Construction
PROP00053,Hyderabad,Kondapur,Villa,2652.0,6,6,0,9,10,2,North-West,Semi-Furnished,2,0.8,Parking|Lift|Garden|Swimming Pool|Clubhouse|Children Play Area|Security|Power Backup,1,1,1,11484.37,30456545,304.57,2022-04-12,Sale,Under Construction
PROP00054,Bangalore,Hebbal,Apartment,975.0,3,3,3,17,21,24,North-East,Unfurnished,1,0.8,Swimming Pool|Security|Lift|Children Play Area|Garden|Clubhouse|Gym|Power Backup,1,1,1,9486.85,9249677,92.5,2023-03-09,Sale,Under Construction
PROP00055,Hyderabad,Jubilee Hills,Apartment,1180.0,3,4,3,11,14,12,North-East,Semi-Furnished,1,1.0,Children Play Area|Garden|Swimming Pool|Power Backup|Jogging Track|Gym|Parking|Security|Lift|Clubhouse,0,0,0,12804.19,15108944,151.09,2023-08-16,Sale,Under Construction
PROP00056,Hyderabad,Secunderabad,Apartment,986.0,4,5,3,23,25,13,East,Unfurnished,0,0.8,Children Play Area|Swimming Pool|Parking|Lift|Clubhouse|Garden|Jogging Track|Power Backup,1,1,1,8697.92,8576148,85.76,2023-12-17,Resale,New Launch
PROP00057,Pune,Baner,Apartment,1191.0,2,1,1,12,15,19,West,Fully Furnished,2,0.3,Clubhouse|Lift|Children Play Area,0,0,0,6055.11,7211637,72.12,2022-05-20,Resale,Under Construction
PROP00058,Bangalore,Electronic City,Villa,4110.0,5,5,0,19,27,14,East,Unfurnished,2,0.6,Swimming Pool|Jogging Track|Parking|Power Backup|Security|Garden,1,0,1,12960.03,53265712,532.66,2024-09-01,Sale,Ready to Move
PROP00059,Bangalore,Sarjapur Road,Studio,470.0,1,1,0,2,6,22,South,Fully Furnished,0,1.0,Children Play Area|Clubhouse|Garden|Jogging Track|Parking|Power Backup|Security|Swimming Pool|Gym|Lift,0,1,0,6330.53,2975351,29.75,2022-11-04,Resale,Ready to Move
PROP00060,Bangalore,Indiranagar,Penthouse,2392.0,3,3,3,8,18,22,East,Unfurnished,1,0.8,Garden|Clubhouse|Swimming Pool|Jogging Track|Parking|Power Backup|Children Play Area|Gym,0,1,1,16734.94,40029981,400.3,2023-12-01,Resale,Ready to Move
PROP00061,Hyderabad,Kondapur,Apartment,1179.0,1,1,0,32,41,23,North-East,Unfurnished,2,0.7,Jogging Track|Clubhouse|Parking|Swimming Pool|Lift|Garden|Security,0,1,0,7763.64,9153332,91.53,2023-05-02,Resale,New Launch
PROP00062,Hyderabad,Tellapur,Apartment,1203.0,1,1,1,30,34,11,North-West,Fully Furnished,1,0.9,Lift|Security|Parking|Children Play Area|Jogging Track|Power Backup|Swimming Pool|Gym|Clubhouse,1,0,0,9015.42,10845545,108.46,2022-07-30,Sale,Under Construction
PROP00063,Hyderabad,Madhapur,Apartment,1161.0,3,4,1,27,29,7,South,Fully Furnished,1,0.2,Parking|Gym,0,1,0,7785.68,9039178,90.39,2024-02-07,Sale,Ready to Move
PROP00064,Hyderabad,Jubilee Hills,Independent House,1264.0,3,4,2,9,12,1,North,Fully Furnished,0,0.9,Clubhouse|Lift|Children Play Area|Security|Gym|Garden|Parking|Swimming Pool|Power Backup,0,1,0,15565.17,19674378,196.74,2023-05-02,Resale,Ready to Move
PROP00065,Hyderabad,Nallagandla,Villa,2674.0,5,6,3,4,6,15,North-East,Semi-Furnished,2,1.0,Jogging Track|Power Backup|Clubhouse|Lift|Children Play Area|Gym|Parking|Security|Swimming Pool|Garden,1,0,1,11147.33,29807953,298.08,2024-11-05,Sale,Under Construction
PROP00066,Delhi NCR,Gurgaon,Villa,3874.0,5,5,2,1,7,25,East,Unfurnished,0,0.3,Jogging Track|Garden|Clubhouse,0,0,1,16283.35,63081690,630.82,2024-08-09,Resale,New Launch
PROP00067,Hyderabad,Kondapur,Apartment,796.0,2,2,0,18,22,1,West,Fully Furnished,0,0.7,Security|Children Play Area|Parking|Lift|Jogging Track|Power Backup|Clubhouse,1,0,0,10517.12,8371626,83.72,2022-04-08,Resale,Under Construction
PROP00068,Hyderabad,Begumpet,Apartment,789.0,4,4,3,24,30,5,South,Semi-Furnished,2,0.7,Children Play Area|Security|Swimming Pool|Garden|Power Backup|Gym|Parking,1,0,0,7280.52,5744332,57.44,2023-11-03,Resale,Under Construction
PROP00069,Bangalore,Bannerghatta Road,Apartment,1408.0,3,4,3,22,30,1,North-West,Fully Furnished,1,0.7,Jogging Track|Parking|Security|Garden|Gym|Children Play Area|Power Backup,1,1,1,12951.27,18235390,182.35,2024-06-16,Sale,Ready to Move
PROP00070,Hyderabad,Begumpet,Apartment,1105.0,3,4,0,9,17,11,North,Semi-Furnished,1,0.3,Jogging Track|Clubhouse|Garden,0,0,1,8837.53,9765474,97.65,2022-02-23,Sale,Under Construction
PROP00071,Bangalore,JP Nagar,Apartment,608.0,3,3,3,13,23,9,North-West,Fully Furnished,0,0.9,Power Backup|Swimming Pool|Clubhouse|Parking|Gym|Jogging Track|Children Play Area|Lift|Security,0,0,1,11165.83,6788825,67.89,2023-08-18,Resale,Ready to Move
PROP00072,Mumbai,Bandra,Independent House,1318.0,4,5,1,7,11,25,West,Unfurnished,1,0.9,Gym|Garden|Children Play Area|Power Backup|Security|Swimming Pool|Jogging Track|Parking|Lift,0,0,0,21983.16,28973809,289.74,2022-06-01,Sale,Under Construction
PROP00073,Bangalore,Marathahalli,Apartment,1057.0,4,5,2,8,17,20,North-East,Unfurnished,0,0.4,Parking|Children Play Area|Gym|Jogging Track,1,0,1,7772.0,8215008,82.15,2023-04-07,Resale,New Launch
PROP00074,Delhi NCR,Noida,Apartment,804.0,4,5,2,8,13,19,North-East,Unfurnished,2,0.4,Jogging Track|Clubhouse|Children Play Area|Garden,0,1,1,12012.84,9658324,96.58,2022-06-16,Sale,New Launch
PROP00075,Mumbai,Navi Mumbai,Villa,2552.0,4,5,3,1,9,20,North-East,Unfurnished,2,0.6,Lift|Power Backup|Parking|Clubhouse|Children Play Area|Gym,1,1,0,23032.34,58778532,587.79,2024-08-09,Sale,Under Construction
PROP00076,Bangalore,Sarjapur Road,Independent House,1878.0,3,3,2,25,28,24,North,Semi-Furnished,0,0.3,Garden|Power Backup|Lift,0,0,1,7906.27,14847969,148.48,2022-04-14,Resale,Under Construction
PROP00077,Delhi NCR,Indirapuram,Apartment,1181.0,4,3,2,20,24,24,West,Semi-Furnished,0,1.0,Lift|Jogging Track|Security|Power Backup|Gym|Garden|Parking|Clubhouse|Swimming Pool|Children Play Area,0,1,1,8682.91,10254517,102.55,2024-08-21,Resale,New Launch
PROP00078,Hyderabad,Jubilee Hills,Apartment,1120.0,4,4,2,25,31,1,South,Unfurnished,0,1.0,Power Backup|Garden|Security|Gym|Jogging Track|Lift|Children Play Area|Clubhouse|Swimming Pool|Parking,1,0,0,11168.94,12509211,125.09,2023-11-26,Resale,Ready to Move
PROP00079,Hyderabad,Kokapet,Apartment,1405.0,3,2,0,2,5,22,North,Fully Furnished,2,1.0,Lift|Clubhouse|Children Play Area|Jogging Track|Security|Parking|Swimming Pool|Power Backup|Garden|Gym,0,0,0,8027.16,11278154,112.78,2024-01-25,Resale,New Launch
PROP00080,Hyderabad,Nallagandla,Villa,2236.0,5,6,0,30,35,20,North-East,Semi-Furnished,0,0.2,Jogging Track|Lift,0,1,1,8463.39,18924134,189.24,2022-08-14,Sale,Ready to Move
PROP00081,Bangalore,Hebbal,Apartment,1207.0,4,5,1,26,35,24,North-East,Fully Furnished,0,0.2,Clubhouse|Children Play Area,0,0,0,8962.72,10818002,108.18,2022-12-21,Resale,New Launch
PROP00082,Hyderabad,Begumpet,Villa,3561.0,5,6,2,30,34,7,North,Semi-Furnished,1,0.5,Security|Jogging Track|Power Backup|Garden|Parking,0,0,0,16244.61,57847058,578.47,2023-07-15,Resale,Ready to Move
PROP00083,Bangalore,JP Nagar,Apartment,1566.0,3,3,2,9,14,1,North,Fully Furnished,2,0.3,Garden|Lift|Security,0,1,1,12570.85,19685953,196.86,2023-07-10,Resale,Ready to Move
PROP00084,Hyderabad,Manikonda,Apartment,990.0,2,3,2,14,18,1,East,Semi-Furnished,1,0.9,Swimming Pool|Clubhouse|Gym|Security|Jogging Track|Power Backup|Parking|Garden|Lift,0,0,1,10836.6,10728231,107.28,2022-07-03,Sale,New Launch
PROP00085,Mumbai,Andheri,Penthouse,2899.0,3,2,3,11,12,12,South,Unfurnished,1,0.6,Gym|Jogging Track|Security|Lift|Parking|Children Play Area,0,0,0,24015.03,69619559,696.2,2022-10-02,Resale,Under Construction
PROP00086,Hyderabad,Jubilee Hills,Apartment,1910.0,2,3,1,16,19,0,North-West,Unfurnished,1,0.6,Jogging Track|Power Backup|Clubhouse|Security|Garden|Children Play Area,0,1,0,10057.99,19210769,192.11,2022-07-15,Sale,Ready to Move
PROP00087,Bangalore,HSR Layout,Apartment,955.0,1,1,0,28,33,10,North,Semi-Furnished,2,0.2,Security|Garden,1,1,1,10648.77,10169575,101.7,2022-11-24,Resale,New Launch
PROP00088,Bangalore,Bannerghatta Road,Independent House,1588.0,2,3,0,18,24,19,West,Unfurnished,2,0.4,Lift|Clubhouse|Jogging Track|Garden,0,0,0,9599.77,15244433,152.44,2023-03-24,Sale,New Launch
PROP00089,Mumbai,Powai,Apartment,1646.0,2,3,2,23,25,18,East,Unfurnished,0,1.0,Children Play Area|Power Backup|Clubhouse|Swimming Pool|Lift|Security|Jogging Track|Gym|Garden|Parking,0,1,0,16418.41,27024697,270.25,2024-04-30,Resale,New Launch
PROP00090,Hyderabad,Tellapur,Villa,2689.0,3,3,0,25,30,0,North-West,Unfurnished,2,0.3,Gym|Parking|Garden,1,1,1,13393.67,36015577,360.16,2024-08-24,Sale,Under Construction
PROP00091,Bangalore,Indiranagar,Independent House,2875.0,3,4,3,23,30,14,South,Unfurnished,0,1.0,Clubhouse|Garden|Swimming Pool|Lift|Security|Power Backup|Parking|Jogging Track|Gym|Children Play Area,0,0,0,15076.71,43345548,433.46,2024-12-25,Resale,Ready to Move
PROP00092,Hyderabad,Begumpet,Apartment,391.0,3,2,0,2,9,19,East,Unfurnished,2,0.3,Swimming Pool|Gym|Lift,1,1,1,7033.31,2750023,27.5,2023-04-25,Sale,Ready to Move
PROP00093,Hyderabad,Uppal,Apartment,944.0,1,2,1,20,24,9,West,Fully Furnished,0,1.0,Power Backup|Parking|Security|Clubhouse|Gym|Lift|Swimming Pool|Children Play Area|Jogging Track|Garden,0,0,0,8212.74,7752823,77.53,2024-04-16,Sale,Under Construction
PROP00094,Bangalore,JP Nagar,Apartment,1277.0,2,1,1,9,17,1,North-East,Semi-Furnished,2,0.8,Children Play Area|Jogging Track|Clubhouse|Power Backup|Swimming Pool|Lift|Garden|Parking,1,0,0,11261.58,14381032,143.81,2023-01-26,Sale,Under Construction
PROP00095,Bangalore,Bellandur,Villa,2966.0,4,3,1,35,39,15,West,Fully Furnished,0,0.7,Security|Gym|Power Backup|Swimming Pool|Garden|Children Play Area|Lift,1,0,1,14530.39,43097138,430.97,2023-08-03,Resale,Under Construction
PROP00096,Bangalore,Sarjapur Road,Apartment,1718.0,3,3,3,29,31,25,North-West,Semi-Furnished,2,0.7,Power Backup|Garden|Children Play Area|Jogging Track|Gym|Security|Swimming Pool,1,1,0,8971.73,15413425,154.13,2024-05-05,Resale,Ready to Move
PROP00097,Hyderabad,Manikonda,Apartment,1232.0,3,2,3,35,41,8,South,Fully Furnished,2,0.9,Lift|Clubhouse|Garden|Swimming Pool|Parking|Security|Power Backup|Gym|Children Play Area,1,1,1,11243.97,13852570,138.53,2024-04-24,Sale,New Launch
PROP00098,Hyderabad,Kondapur,Apartment,568.0,2,3,1,23,24,19,North-West,Semi-Furnished,2,0.9,Lift|Gym|Children Play Area|Security|Parking|Power Backup|Jogging Track|Garden|Swimming Pool,0,1,0,7588.15,4310070,43.1,2023-01-03,Sale,Ready to Move
PROP00099,Bangalore,HSR Layout,Apartment,1017.0,1,2,1,22,27,25,South,Unfurnished,1,0.8,Lift|Power Backup|Children Play Area|Clubhouse|Garden|Gym|Security|Jogging Track,0,0,0,7357.82,7482905,74.83,2022-01-20,Sale,Ready to Move
PROP00100,Bangalore,Hebbal,Villa,931.0,3,3,0,33,34,7,West,Fully Furnished,0,0.9,Security|Gym|Swimming Pool|Garden|Clubhouse|Jogging Track|Children Play Area|Power Backup|Lift,1,1,0,15705.23,14621569,146.22,2023-09-05,Sale,New Launch
PROP00101,Hyderabad,Ameerpet,Villa,1804.0,5,6,2,24,27,25,North-West,Semi-Furnished,0,1.0,Garden|Gym|Swimming Pool|Power Backup|Lift|Children Play Area|Clubhouse|Parking|Jogging Track|Security,0,0,0,7580.97,13676063,136.76,2024-02-08,Resale,Ready to Move
PROP00102,Mumbai,Goregaon,Apartment,946.0,2,3,1,15,17,2,North,Unfurnished,0,0.4,Parking|Garden|Children Play Area|Gym,1,0,0,21668.36,20498267,204.98,2023-07-07,Sale,Ready to Move
PROP00103,Hyderabad,Nallagandla,Apartment,1120.0,4,5,3,6,7,2,North,Semi-Furnished,2,0.7,Parking|Gym|Security|Power Backup|Jogging Track|Children Play Area|Swimming Pool,1,0,1,9735.01,10903209,109.03,2023-09-09,Resale,Under Construction
PROP00104,Hyderabad,Madhapur,Apartment,756.0,1,1,1,30,32,11,North,Fully Furnished,2,0.9,Jogging Track|Power Backup|Lift|Gym|Swimming Pool|Clubhouse|Parking|Garden|Security,0,0,0,9722.78,7350418,73.5,2022-10-06,Resale,Under Construction
PROP00105,Bangalore,Bannerghatta Road,Apartment,1029.0,3,3,1,25,31,9,North-West,Semi-Furnished,2,0.9,Jogging Track|Power Backup|Garden|Children Play Area|Clubhouse|Parking|Lift|Gym|Security,1,1,0,11429.83,11761292,117.61,2023-03-06,Resale,Under Construction
PROP00106,Delhi NCR,Noida,Independent House,1851.0,3,3,3,8,13,7,North,Semi-Furnished,2,0.8,Parking|Swimming Pool|Lift|Security|Power Backup|Jogging Track|Garden|Clubhouse,0,1,0,19680.45,36428511,364.29,2022-06-24,Sale,Ready to Move
